caseid	ideol7b	presvote	retecon	white	female	age	educ1_7	income	partyid	bushiraq	exptrnout2
217.0	4.0	0	-1.0	1.0	1	73.0	4.0	13.0	0.0	0.0	1
218.0	4.0	1	0.0	1.0	1	41.0	3.0	12.0	5.0	0.6666667	1
219.0	1.0	0	0.0	1.0	0	62.0	7.0	22.0	1.0	0.0	1
228.0	4.0	1	-0.5	1.0	1	38.0	4.0	20.0	6.0	0.0	1
234.0	6.0	1	0.5	1.0	0	44.0	3.0	18.0	5.0	1.0	1
235.0	7.0	1	0.0	1.0	0	59.0	3.0	15.0	5.0	1.0	1
237.0	4.0	1	0.0	1.0	1	82.0	4.0	22.0	1.0	0.0	1
238.0	4.0	0	-1.0	0.0	1	61.0	2.0	1.0	0.0	0.0	1
240.0	4.0	1	0.0	1.0	0	51.0	4.0	11.0	1.0	1.0	1
241.0	4.0	1	-1.0	0.0	1	35.0	3.0	6.0	3.0	0.0	1
242.0	3.0	0	-1.0	1.0	1	54.0	3.0	17.0	0.0	0.0	1
243.0	7.0	1	0.0	1.0	0	58.0	6.0	12.0	4.0	0.6666667	1
253.0	4.0	0	-1.0	0.0	1	25.0	3.0	12.0	1.0	0.0	1
255.0	4.0	0	-1.0	1.0	0	56.0	3.0	4.0	3.0	0.0	1
258.0	6.0	1	0.0	1.0	1	77.0	2.0	6.0	6.0	1.0	1
260.0	4.0	0	0.0	1.0	0	51.0	6.0	23.0	2.0	0.0	1
262.0	3.0	0	-1.0	1.0	1	78.0	7.0	12.0	0.0	0.0	1
263.0	6.0	1	0.5	1.0	0	48.0	3.0	17.0	2.0	0.6666667	1
266.0	5.0	1	-0.5	1.0	0	51.0	3.0	19.0	6.0	0.33333334	1
272.0	5.0	1	0.0	1.0	0	30.0	5.0	13.0	5.0	0.6666667	1
275.0	3.0	1	0.0	1.0	1	31.0	5.0	14.0	1.0	1.0	1
282.0	5.0	1	0.0	1.0	1	29.0	6.0	17.0	5.0	0.6666667	1
284.0	6.0	1	0.0	1.0	0	60.0	3.0	23.0	6.0	1.0	1
285.0	6.0	1	0.0	1.0	0	80.0	6.0	15.0	6.0	0.6666667	1
293.0	4.0	0	-0.5	1.0	1	26.0	3.0	8.0	1.0	0.0	1
295.0	2.0	0	-1.0	0.0	0	66.0	7.0	23.0	0.0	0.0	1
300.0	3.0	1	-0.5	1.0	1	45.0	4.0	19.0	5.0	0.0	1
301.0	4.0	1	0.0	1.0	0	54.0	2.0	5.0	6.0	1.0	1
307.0	4.0	1	0.5	0.0	0	55.0	6.0	23.0	1.0	0.6666667	1
308.0	5.0	1	0.0	1.0	0	62.0	3.0	23.0	6.0	1.0	1
310.0	6.0	1	1.0	1.0	0	47.0	7.0	23.0	6.0	0.6666667	1
313.0	4.0	0	0.0	1.0	0	71.0	3.0	14.0	1.0	0.0	1
322.0	2.0	0	-0.5	1.0	1	28.0	6.0	11.0	0.0	0.0	1
325.0	7.0	1	0.5	1.0	0	27.0	4.0	13.0	6.0	1.0	1
331.0	7.0	1	0.0	1.0	0	45.0	3.0	23.0	6.0	1.0	1
334.0	4.0	0	-1.0	0.0	1	38.0	5.0	12.0	1.0	0.0	1
341.0	6.0	1	0.0	1.0	0	46.0	4.0	20.0	5.0	0.6666667	1
343.0	6.0	1	-1.0	1.0	1	51.0	3.0	6.0	6.0	1.0	1
344.0	4.0	0	-1.0	0.0	0	39.0	4.0	18.0	2.0	0.0	1
351.0	2.0	0	-0.5	1.0	1	62.0	6.0	18.0	0.0	0.0	1
354.0	2.0	0	0.5	1.0	0	76.0	7.0	23.0	0.0	0.0	1
355.0	6.0	1	0.5	1.0	1	31.0	4.0	20.0	6.0	1.0	1
357.0	4.0	0	-0.5	1.0	1	78.0	2.0	16.0	3.0	0.0	1
359.0	4.0	0	-0.5	1.0	0	28.0	4.0	15.0	1.0	0.6666667	1
362.0	5.0	1	0.0	1.0	1	56.0	5.0	13.0	4.0	0.6666667	1
366.0	4.0	0	-0.5	1.0	0	79.0	4.0	12.0	4.0	0.0	1
367.0	4.0	1	0.5	1.0	0	83.0	1.0	2.0	4.0	1.0	1
368.0	6.0	1	0.5	1.0	1	63.0	7.0	16.0	5.0	0.33333334	1
370.0	5.0	1	0.5	1.0	0	44.0	3.0	21.0	6.0	1.0	1
376.0	4.0	0	-0.5	0.0	1	62.0	5.0	19.0	0.0	0.0	1
380.0	2.0	0	0.0	1.0	1	27.0	4.0	18.0	0.0	0.0	1
381.0	5.0	1	0.5	1.0	0	27.0	4.0	14.0	5.0	1.0	1
